0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,Year
12T,Karl Malone,23,UTA,0,3,780,0.004,82,34.8,21.7,10.4,1.9,1.3,0.7,.512,.000,.598,6.9,.116,1987
12T,Robert Parish,33,BOS,0,3,780,0.004,80,37.4,17.5,10.6,2.2,0.8,1.8,.556,.000,.735,9.2,.147,1987
14,Alex English,33,DEN,0,2,780,0.003,82,37.6,28.6,4.2,5.1,0.9,0.3,.503,.267,.844,8.1,.126,1987
15T,Mark Aguirre,27,DAL,0,1,780,0.001,80,33.3,25.7,5.3,3.2,1.1,0.4,.495,.353,.770,8.9,.160,1987
15T,Rolando Blackman,27,DAL,0,1,780,0.001,80,34.5,21.0,3.5,3.3,0.8,0.3,.495,.333,.884,8.0,.140,1987
15T,Joe Barry Carroll,28,GSW,0,1,780,0.001,81,33.6,21.2,7.3,2.6,1.1,1.5,.472,,.787,4.6,.082,1987
Rank,Player,Age,Tm,First,Pts Won,Pts Max,Share,G,MP,PTS,TRB,AST,STL,BLK,FG%,3P%,FT%,WS,WS/48,1988
1,Michael Jordan,24,CHI,47,665,800,0.831,82,40.4,35.0,5.5,5.9,3.2,1.6,.535,.132,.841,21.2,.308,1988
2,Larry Bird,31,BOS,16,527,800,0.659,76,39.0,29.9,9.3,6.1,1.6,0.8,.527,.414,.916,15.0,.243,1988
3,Magic Johnson,28,LAL,16,508,800,0.635,72,36.6,19.6,6.2,11.9,1.6,0.2,.492,.196,.853,10.9,.199,1988
4,Charles Barkley,24,PHI,1,109,800,0.136,80,39.6,28.3,11.9,3.2,1.3,1.3,.587,.280,.751,16.7,.253,1988
5,Clyde Drexler,25,POR,0,86,800,0.108,81,37.8,27.0,6.6,5.8,2.5,0.6,.506,.212,.811,13.2,.207,1988
6,Dominique Wilkins,28,ATL,0,55,800,0.069,78,37.8,30.7,6.4,2.9,1.3,0.6,.464,.295,.826,9.8,.160,1988
7,Hakeem Olajuwon,25,HOU,0,40,800,0.050,79,35.8,22.8,12.1,2.1,2.1,2.7,.514,.000,.695,10.7,.182,1988
8,Karl Malone,24,UTA,0,36,800,0.045,82,39.0,27.7,12.0,2.4,1.4,0.6,.520,.000,.700,10.1,.152,1988
9,Fat Lever,27,DEN,0,26,800,0.033,82,37.3,18.9,8.1,7.8,2.7,0.3,.473,.211,.785,10.4,.163,1988
10,John Stockton,25,UTA,0,15,800,0.019,82,34.7,14.7,2.9,13.8,3.0,0.2,.574,.358,.840,14.1,.238,1988
11,Alex English,34,DEN,0,4,800,0.005,80,35.2,25.0,4.7,4.7,0.9,0.3,.495,.000,.828,7.6,.129,1988
12,Isiah Thomas,26,DET,0,3,800,0.004,81,36.1,19.5,3.4,8.4,1.7,0.2,.463,.309,.774,7.6,.124,1988
13,Mark Jackson,22,NYK,0,2,800,0.003,82,39.6,13.6,4.8,10.6,2.5,0.1,.432,.254,.774,7.6,.113,1988
14T,Michael Adams,25,DEN,0,1,800,0.001,82,33.9,13.9,2.7,6.1,2.0,0.2,.449,.367,.834,7.5,.130,1988
14T,Mark Aguirre,28,DAL,0,1,800,0.001,77,33.9,25.1,5.6,3.6,0.9,0.7,.475,.302,.770,8.8,.163,1988
14T,Adrian Dantley,32,DET,0,1,800,0.001,69,31.1,20.0,3.3,2.5,0.6,0.1,.514,.000,.860,9.4,.210,1988
14T,Buck Williams,27,NJN,0,1,800,0.001,70,37.7,18.3,11.9,1.6,1.0,0.6,.560,1.000,.668,7.6,.138,1988
Rank,Player,Age,Tm,First,Pts Won,Pts Max,Share,G,MP,PTS,TRB,AST,STL,BLK,FG%,3P%,FT%,WS,WS/48,1989
1,Magic Johnson,29,LAL,42.5,664.5,850,0.782,77,37.5,22.5,7.9,12.8,1.8,0.3,.509,.314,.911,16.1,.267,1989
2,Michael Jordan,25,CHI,27.5,598.8,850,0.704,81,40.2,32.5,8.0,8.0,2.9,0.8,.538,.276,.850,19.8,.292,1989
3,Karl Malone,25,UTA,5,362,850,0.426,80,39.1,29.1,10.7,2.7,1.8,0.9,.519,.313,.766,15.2,.233,1989
4,Patrick Ewing,26,NYK,8,200,850,0.235,80,36.2,22.7,9.3,2.4,1.5,3.5,.567,.000,.746,10.9,.181,1989
5,Hakeem Olajuwon,26,HOU,2,179.3,850,0.211,82,36.9,24.8,13.5,1.8,2.6,3.4,.508,.000,.696,12.4,.197,1989
6,Charles Barkley,25,PHI,0,94.3,850,0.111,79,39.1,25.8,12.5,4.1,1.6,0.8,.579,.216,.753,16.1,.250,1989
7,John Stockton,26,UTA,0,28,850,0.033,82,38.7,17.1,3.0,13.6,3.2,0.2,.538,.242,.863,15.6,.236,1989
8,Kevin Johnson,22,PHO,0,22,850,0.026,81,39.2,20.4,4.2,12.2,1.7,0.3,.505,.091,.882,12.2,.184,1989
9,Tom Chambers,29,PHO,0,20,850,0.024,81,37.1,25.7,8.4,2.9,1.1,0.7,.471,.326,.851,9.2,.146,1989
10,Mark Price,24,CLE,0,18,850,0.021,75,36.4,18.9,3.0,8.4,1.5,0.1,.526,.441,.901,11.3,.199,1989
11T,Brad Daugherty,23,CLE,0,4,850,0.005,78,36.2,18.9,9.2,3.7,0.8,0.5,.538,.333,.737,9.6,.164,1989
11T,Robert Parish,35,BOS,0,4,850,0.005,80,35.5,18.6,12.5,2.2,1.0,1.5,.570,,.719,10.5,.177,1989
13T,Mark Eaton,32,UTA,0,3,850,0.004,82,35.5,6.2,10.3,1.0,0.5,3.8,.462,,.660,6.6,.108,1989
13T,Moses Malone,33,ATL,0,3,850,0.004,81,35.5,20.2,11.8,1.4,1.0,1.2,.491,.000,.789,10.7,.178,1989
13T,Chris Mullin,25,GSW,0,3,850,0.004,82,37.7,26.5,5.9,5.1,2.1,0.5,.509,.230,.892,10.6,.165,1989
13T,Larry Nance,29,CLE,0,3,850,0.004,73,34.6,17.2,8.0,2.2,0.8,2.8,.539,.000,.799,10.3,.197,1989
17T,Terry Cummings,27,MIL,0,1,850,0.001,80,35.3,22.9,8.1,2.5,1.3,0.9,.467,.467,.787,7.7,.131,1989
17T,Joe Dumars,25,DET,0,1,850,0.001,69,34.9,17.2,2.5,5.7,0.9,0.1,.505,.483,.850,7.0,.140,1989
17T,Isiah Thomas,27,DET,0,1,850,0.001,80,36.6,18.2,3.4,8.3,1.7,0.3,.464,.273,.818,7.0,.115,1989
Rank,Player,Age,Tm,First,Pts Won,Pts Max,Share,G,MP,PTS,TRB,AST,STL,BLK,FG%,3P%,FT%,WS,WS/48,1990
1,Magic Johnson,30,LAL,27,636,920,0.691,79,37.2,22.3,6.6,11.5,1.7,0.4,.480,.384,.890,16.5,.270,1990
2,Charles Barkley,26,PHI,38,614,920,0.667,79,39.1,25.2,11.5,3.9,1.9,0.6,.600,.217,.749,17.3,.269,1990
3,Michael Jordan,26,CHI,21,564,920,0.613,82,39.0,33.6,6.9,6.3,2.8,0.7,.526,.376,.848,19.0,.285,1990
4,Karl Malone,26,UTA,2,214,920,0.233,82,38.1,31.0,11.1,2.8,1.5,0.6,.562,.372,.762,15.9,.245,1990
5,Patrick Ewing,27,NYK,1,162,920,0.176,82,38.6,28.6,10.9,2.2,1.0,4.0,.551,.250,.775,13.5,.205,1990
6,David Robinson,24,SAS,2,102,920,0.111,82,36.6,24.3,12.0,2.0,1.7,3.9,.531,.000,.732,15.1,.241,1990
7,Hakeem Olajuwon,27,HOU,1,64,920,0.070,82,38.1,24.3,14.0,2.9,2.1,4.6,.501,.167,.713,11.2,.173,1990
8,Tom Chambers,30,PHO,0,12,920,0.013,81,37.6,27.2,7.0,2.3,1.1,0.6,.501,.279,.861,11.2,.176,1990
9,John Stockton,27,UTA,0,9,920,0.010,78,37.4,17.2,2.6,14.5,2.7,0.2,.514,.416,.819,14.4,.238,1990
10T,Larry Bird,33,BOS,0,5,920,0.005,75,39.3,24.3,9.5,7.5,1.4,0.8,.473,.333,.930,9.5,.154,1990
10T,Buck Williams,29,POR,0,5,920,0.005,82,34.2,13.6,9.8,1.4,0.8,0.5,.548,.000,.706,8.7,.149,1990
12,Clyde Drexler,27,POR,0,3,920,0.003,73,36.8,23.3,6.9,5.9,2.0,0.7,.494,.283,.774,11.6,.208,1990
13T,Joe Dumars,26,DET,0,1,920,0.001,75,34.4,17.8,2.8,4.9,0.8,0.0,.480,.400,.900,8.7,.162,1990
13T,Isiah Thomas,28,DET,0,1,920,0.001,81,37.0,18.4,3.8,9.4,1.7,0.2,.438,.309,.775,6.7,.107,1990
Rank,Player,Age,Tm,First,Pts Won,Pts Max,Share,G,MP,PTS,TRB,AST,STL,BLK,FG%,3P%,FT%,WS,WS/48,1991
1,Michael Jordan,27,CHI,77,891,960,0.928,82,37.0,31.5,6.0,5.5,2.7,1.0,.539,.312,.851,20.3,.321,1991
2,Magic Johnson,31,LAL,10,497,960,0.518,79,37.1,19.4,7.0,12.5,1.3,0.2,.477,.320,.906,15.4,.251,1991
3,David Robinson,25,SAS,6,476,960,0.496,82,37.7,25.6,13.0,2.5,1.5,3.9,.552,.143,.762,17.0,.264,1991
4,Charles Barkley,27,PHI,2,222,960,0.231,67,37.3,27.6,10.1,4.2,1.6,0.5,.570,.284,.722,13.4,.258,1991
5,Karl Malone,27,UTA,0,142,960,0.148,82,40.3,29.0,11.8,3.3,1.1,1.0,.527,.286,.770,15.5,.225,1991
6,Clyde Drexler,28,POR,1,75,960,0.078,82,34.8,21.5,6.7,6.0,1.8,0.7,.482,.319,.794,12.4,.209,1991
7,Kevin Johnson,24,PHO,0,32,960,0.033,77,36.0,22.2,3.5,10.1,2.1,0.1,.516,.205,.843,12.7,.220,1991
8,Dominique Wilkins,31,ATL,0,29,960,0.030,81,38.0,25.9,9.0,3.3,1.5,0.8,.470,.341,.829,11.4,.177,1991
9T,Larry Bird,34,BOS,0,25,960,0.026,60,38.0,19.4,8.5,7.2,1.8,1.0,.454,.389,.891,6.6,.140,1991
9T,Terry Porter,27,POR,0,25,960,0.026,81,32.9,17.0,3.5,8.0,2.0,0.1,.515,.415,.823,13.0,.235,1991
11,Patrick Ewing,28,NYK,0,20,960,0.021,81,38.3,26.6,11.2,3.0,1.0,3.2,.514,.000,.745,10.0,.155,1991
12,John Stockton,28,UTA,0,15,960,0.016,82,37.8,17.2,2.9,14.2,2.9,0.2,.507,.345,.836,14.0,.217,1991
13,Isiah Thomas,29,DET,0,11,960,0.011,48,34.5,16.2,3.3,9.3,1.6,0.2,.435,.292,.782,3.4,.098,1991
14,Robert Parish,37,BOS,0,10,960,0.010,81,30.1,14.9,10.6,0.8,0.8,1.3,.598,.000,.767,10.0,.198,1991
15,Joe Dumars,27,DET,0,8,960,0.008,80,38.1,20.4,2.3,5.5,1.1,0.1,.481,.311,.890,9.9,.155,1991
16,Bernard King,34,WSB,0,7,960,0.007,64,37.5,28.4,5.0,4.6,0.9,0.3,.472,.216,.790,3.5,.070,1991
17,Kenny Smith,25,HOU,0,5,960,0.005,78,34.6,17.7,2.1,7.1,1.4,0.1,.520,.363,.844,9.0,.161,1991
18,Hakeem Olajuwon,28,HOU,0,4,960,0.004,56,36.8,21.2,13.8,2.3,2.2,3.9,.508,.000,.769,8.6,.201,1991
19T,Tim Hardaway,24,GSW,0,1,960,0.001,82,39.2,22.9,4.0,9.7,2.6,0.1,.476,.385,.803,9.9,.148,1991
19T,Kevin McHale,33,BOS,0,1,960,0.001,68,30.4,18.4,7.1,1.9,0.4,2.1,.553,.405,.829,7.9,.182,1991
Rank,Player,Age,Tm,First,Pts Won,Pts Max,Share,G,MP,PTS,TRB,AST,STL,BLK,FG%,3P%,FT%,WS,WS/48,1992
1,Michael Jordan,28,CHI,80,900,960,0.938,80,38.8,30.1,6.4,6.1,2.3,0.9,.519,.270,.832,17.7,.274,1992
2,Clyde Drexler,29,POR,12,561,960,0.584,76,36.2,25.0,6.6,6.7,1.8,0.9,.470,.337,.794,12.8,.223,1992
3,David Robinson,26,SAS,2,337,960,0.351,68,37.7,23.2,12.2,2.7,2.3,4.5,.551,.125,.701,13.9,.260,1992
4,Karl Malone,28,UTA,1,262,960,0.273,81,37.7,28.0,11.2,3.0,1.3,0.6,.526,.176,.778,15.1,.237,1992
5,Patrick Ewing,29,NYK,0,100,960,0.104,82,38.4,24.0,11.2,1.9,1.1,3.0,.522,.167,.738,13.0,.198,1992
6,Chris Mullin,28,GSW,0,81,960,0.084,81,41.3,25.6,5.6,3.5,2.1,0.8,.524,.366,.833,10.8,.155,1992
7,Mark Price,27,CLE,0,66,960,0.069,72,29.7,17.3,2.4,7.4,1.3,0.2,.488,.387,.947,9.1,.205,1992
8,Tim Hardaway,25,GSW,0,64,960,0.067,81,41.1,23.4,3.8,10.0,2.0,0.2,.461,.338,.766,9.2,.132,1992
9,Scottie Pippen,26,CHI,1,32,960,0.033,82,38.6,21.0,7.7,7.0,1.9,1.1,.506,.200,.760,12.7,.192,1992
10,Dennis Rodman,30,DET,0,26,960,0.027,82,40.3,9.8,18.7,2.3,0.8,0.9,.539,.317,.600,12.6,.183,1992
11,Brad Daugherty,26,CLE,0,24,960,0.025,73,36.2,21.5,10.4,3.6,0.9,1.1,.570,.000,.777,11.7,.213,1992
12T,Charles Barkley,28,PHI,0,18,960,0.019,75,38.4,23.1,11.1,4.1,1.8,0.6,.552,.234,.695,12.3,.205,1992
12T,John Stockton,29,UTA,0,18,960,0.019,82,36.6,15.8,3.3,13.7,3.0,0.3,.482,.407,.842,13.4,.215,1992
14,Larry Bird,35,BOS,0,3,960,0.003,45,36.9,20.2,9.6,6.8,0.9,0.7,.466,.406,.926,5.5,.159,1992
15,Kevin Johnson,25,PHO,0,2,960,0.002,78,37.2,19.7,3.7,10.7,1.5,0.3,.479,.217,.807,10.0,.165,1992
16T,Danny Manning,25,LAC,0,1,960,0.001,82,35.4,19.3,6.9,3.5,1.6,1.5,.542,.000,.725,9.8,.162,1992
16T,Detlef Schrempf,29,IND,0,1,960,0.001,80,32.6,17.3,9.6,3.9,0.8,0.5,.536,.324,.828,9.8,.181,1992
Rank,Player,Age,Tm,First,Pts Won,Pts Max,Share,G,MP,PTS,TRB,AST,STL,BLK,FG%,3P%,FT%,WS,WS/48,1993
1,Charles Barkley,29,PHO,59,835,980,0.852,76,37.6,25.6,12.2,5.1,1.6,1.0,.520,.305,.765,14.4,.242,1993
2,Hakeem Olajuwon,30,HOU,22,647,980,0.660,82,39.5,26.1,13.0,3.5,1.8,4.2,.529,.000,.779,15.8,.234,1993
3,Michael Jordan,29,CHI,13,565,980,0.577,78,39.3,32.6,6.7,5.5,2.8,0.8,.495,.352,.837,17.2,.270,1993
4,Patrick Ewing,30,NYK,4,359,980,0.366,81,37.1,24.2,12.1,1.9,0.9,2.0,.503,.143,.719,10.6,.170,1993
5,Dominique Wilkins,33,ATL,0,54,980,0.055,71,37.3,29.9,6.8,3.2,1.0,0.4,.468,.380,.828,10.5,.191,1993
6,David Robinson,27,SAS,0,33,980,0.034,82,39.2,23.4,11.7,3.7,1.5,3.2,.501,.176,.732,13.2,.197,1993
7,Shaquille O'Neal,20,ORL,0,30,980,0.031,81,37.9,23.4,13.9,1.9,0.7,3.5,.562,.000,.592,10.4,.163,1993
8T,Karl Malone,29,UTA,0,10,980,0.010,82,37.8,27.0,11.2,3.8,1.5,1.0,.552,.200,.740,15.4,.238,1993
8T,Mark Price,28,CLE,0,10,980,0.010,75,31.7,18.2,2.7,8.0,1.2,0.1,.484,.416,.948,9.8,.197,1993
10T,Brad Daugherty,27,CLE,0,1,980,0.001,71,37.9,20.2,10.2,4.4,0.7,0.8,.571,.500,.795,12.7,.226,1993
10T,Clyde Drexler,30,POR,0,1,980,0.001,49,34.1,19.9,6.3,5.7,1.9,0.8,.429,.233,.839,6.0,.171,1993
10T,Joe Dumars,29,DET,0,1,980,0.001,77,40.2,23.5,1.9,4.0,1.0,0.1,.466,.375,.864,9.1,.141,1993
10T,Shawn Kemp,23,SEA,0,1,980,0.001,78,33.1,17.8,10.7,2.0,1.5,1.9,.492,.000,.712,9.1,.169,1993
10T,John Stockton,30,UTA,0,1,980,0.001,82,34.9,15.1,2.9,12.0,2.4,0.3,.486,.385,.798,10.6,.177,1993
Rank,Player,Age,Tm,First,Pts Won,Pts Max,Share,G,MP,PTS,TRB,AST,STL,BLK,FG%,3P%,FT%,WS,WS/48,1994
1,Hakeem Olajuwon,31,HOU,66,889,1010,0.880,80,41.0,27.3,11.9,3.6,1.6,3.7,.528,.421,.716,14.3,.210,1994
2,David Robinson,28,SAS,24,730,1010,0.723,80,40.5,29.8,10.7,4.8,1.7,3.3,.507,.345,.749,20.0,.296,1994
3,Scottie Pippen,28,CHI,7,390,1010,0.386,72,38.3,22.0,8.7,5.6,2.9,0.8,.491,.320,.660,11.2,.194,1994
4,Shaquille O'Neal,21,ORL,3,289,1010,0.286,81,39.8,29.3,13.2,2.4,0.9,2.9,.599,.000,.554,16.9,.252,1994
5,Patrick Ewing,31,NYK,1,255,1010,0.252,79,37.6,24.5,11.2,2.3,1.1,2.7,.496,.286,.765,13.1,.211,1994
6,Gary Payton,25,SEA,0,20,1010,0.020,82,35.1,16.5,3.3,6.0,2.3,0.2,.504,.278,.595,9.3,.155,1994
7T,Shawn Kemp,24,SEA,0,17,1010,0.017,79,32.9,18.1,10.8,2.6,1.8,2.1,.538,.250,.741,11.7,.216,1994
7T,Karl Malone,30,UTA,0,17,1010,0.017,82,40.6,25.2,11.5,4.0,1.5,1.5,.497,.250,.694,13.4,.193,1994
9,Mark Price,29,CLE,0,7,1010,0.007,76,31.4,17.3,3.0,7.8,1.4,0.1,.478,.397,.888,10.0,.201,1994
10,Charles Barkley,30,PHO,0,5,1010,0.005,65,35.4,21.6,11.2,4.6,1.6,0.6,.495,.270,.704,8.8,.185,1994
11T,Mookie Blaylock,26,ATL,0,1,1010,0.001,81,36.0,13.8,5.2,9.7,2.6,0.5,.411,.334,.730,10.2,.168,1994
11T,Kevin Johnson,27,PHO,0,1,1010,0.001,67,36.6,20.0,2.5,9.5,1.9,0.1,.487,.222,.819,8.7,.170,1994
11T,Dennis Rodman,32,SAS,0,1,1010,0.001,79,37.8,4.7,17.3,2.3,0.7,0.4,.534,.208,.520,8.7,.140,1994
11T,Latrell Sprewell,23,GSW,0,1,1010,0.001,82,43.1,21.0,4.9,4.7,2.2,0.9,.433,.361,.774,8.0,.108,1994
11T,John Stockton,31,UTA,0,1,1010,0.001,82,36.2,15.1,3.1,12.6,2.4,0.3,.528,.322,.805,13.2,.214,1994
11T,Dominique Wilkins,34,TOT,0,1,1010,0.001,74,35.6,26.0,6.5,2.3,1.2,0.4,.440,.288,.847,8.4,.153,1994
11T,Kevin Willis,31,ATL,0,1,1010,0.001,80,35.8,19.1,12.0,1.9,1.0,0.5,.499,.375,.713,10.2,.170,1994
Rank,Player,Age,Tm,First,Pts Won,Pts Max,Share,G,MP,PTS,TRB,AST,STL,BLK,FG%,3P%,FT%,WS,WS/48,1995
1,David Robinson,29,SAS,73,901,1050,0.858,81,38.0,27.6,10.8,2.9,1.7,3.2,.530,.300,.774,17.5,.273,1995
2,Shaquille O'Neal,22,ORL,12,605,1050,0.576,79,37.0,29.3,11.4,2.7,0.9,2.4,.583,.000,.533,14.0,.230,1995
3,Karl Malone,31,UTA,14,532,1050,0.507,82,38.1,26.7,10.6,3.5,1.6,1.0,.536,.268,.742,13.8,.212,1995
4,Patrick Ewing,32,NYK,2,230,1050,0.219,79,37.0,23.9,11.0,2.7,0.9,2.0,.503,.286,.750,9.6,.157,1995
5,Hakeem Olajuwon,32,HOU,1,147,1050,0.140,72,39.6,27.8,10.8,3.5,1.8,3.4,.517,.188,.756,10.7,.181,1995
6,Charles Barkley,31,PHO,1,96,1050,0.091,68,35.0,23.0,11.1,4.1,1.6,0.7,.486,.338,.748,10.6,.214,1995
7,Scottie Pippen,29,CHI,1,83,1050,0.079,79,38.2,21.4,8.1,5.2,2.9,1.1,.480,.345,.716,11.8,.188,1995
8,John Stockton,32,UTA,1,47,1050,0.045,82,35.0,14.7,3.1,12.3,2.4,0.3,.542,.449,.804,13.9,.233,1995
9,Gary Payton,26,SEA,0,34,1050,0.032,82,36.8,20.6,3.4,7.1,2.5,0.2,.509,.302,.716,11.7,.187,1995
10,Anfernee Hardaway,23,ORL,0,23,1050,0.022,77,37.7,20.9,4.4,7.2,1.7,0.3,.512,.349,.769,10.7,.177,1995
11,Michael Jordan,31,CHI,0,12,1050,0.011,17,39.3,26.9,6.9,5.3,1.8,0.8,.411,.500,.801,2.3,.167,1995
12,Dennis Rodman,33,SAS,0,9,1050,0.009,49,32.0,7.1,16.8,2.0,0.6,0.5,.571,.000,.676,5.8,.178,1995
13,Jason Kidd,21,DAL,0,7,1050,0.007,79,33.8,11.7,5.4,7.7,1.9,0.3,.385,.272,.698,3.7,.066,1995
14,Clyde Drexler,32,TOT,0,3,1050,0.003,76,35.9,21.8,6.3,4.8,1.8,0.6,.461,.360,.824,11.7,.206,1995
15,Cedric Ceballos,25,LAL,0,1,1050,0.001,58,35.0,21.7,8.0,1.8,1.0,0.3,.509,.397,.716,5.2,.123,1995
Rank,Player,Age,Tm,First,Pts Won,Pts Max,Share,G,MP,PTS,TRB,AST,STL,BLK,FG%,3P%,FT%,WS,WS/48,1996
1,Michael Jordan,32,CHI,109,1114,1130,0.986,82,37.7,30.4,6.6,4.3,2.2,0.5,.495,.427,.834,20.4,.317,1996
2,David Robinson,30,SAS,0,574,1130,0.508,82,36.8,25.0,12.2,3.0,1.4,3.3,.516,.333,.761,18.3,.290,1996
3,Anfernee Hardaway,24,ORL,2,360,1130,0.319,82,36.8,21.7,4.3,7.1,2.0,0.5,.513,.314,.767,14.4,.229,1996
4,Hakeem Olajuwon,33,HOU,1,238,1130,0.211,72,38.8,26.9,10.9,3.6,1.6,2.9,.514,.214,.724,9.7,.166,1996
5,Scottie Pippen,30,CHI,0,226,1130,0.200,77,36.7,19.4,6.4,5.9,1.7,0.7,.463,.374,.679,12.3,.209,1996
